price,Brand,num_votes,num_reviews,Ratings,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,antiglare,aspect_ratio,touchscreen,processor,cores,threads,cache,graphic_card,ram,hard_disk,battery1,hdmi,wifi,usb,camera,others
51990,Lenovo,91,3,4.55,OS: DOS,Utility: Performance,Thickness: 18.9 mmAverage,1.7 kgAverage,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,7th Gen AMD Ryzen 7 7730U,8 x 2 GHz (Turbo Speed upto 4.5 GHz) Cores,"Octa Core, 16 Threads",16 MB Cache,AMD Radeon AMD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"['45\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.1","2 x USB 3.0, 2 x USB Type-C",,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
36990,Lenovo,110,,4.5,OS: Windows 11,Utility: Everyday Use,Thickness: 19.9 mmAverage,1.7 kgAverage,1 Year Warranty,15.6 inchesLargest,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,Intel Iris Xe Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,['3 Cell Battery'],"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0",,Inbuilt Microphone
92490,Dell,54,,4.2,OS: Windows 11,"Utility: Everyday Use, Business, Performance",1.57 kgAverage,1.57 kgAverage,1 Year Warranty,14 inchesAverage,1920 x 1200 pixelsGood,~ 162 PPIAverage,Touch Screen,Touch Screen,Touch Screen,12th Gen Intel Core i7 1255U,2 x 1.7 GHz (Turbo Speed upto 4.7 GHz) Performance Cores  8 x 1.2 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Iris Xe Graphics Graphics,8 GB DDR4 RAMSmallest,512 GB SSD,"['54\u2009Wh, 4 Cell BatteryGood']","HDMI, Multi Card Reader","WiFi, Bluetooth v5.2","1 x USB 3.0, 2 x USB Type-C",,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
69990,Lenovo,65,,4.55,OS: Windows 11,Utility: Gaming,Thickness: 21.8 mmThick,2.31 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores  4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,"4 GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16 GB DDR4 RAMAverage,512 GB SSD,['60\u2009Wh BatteryGood'],"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
63990,Lenovo,55,,4.1,OS: Windows 11,Utility: Gaming,Thickness: 24.2 mmThick,2.25 kgHeavy,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,11th Gen Intel Core i5 11320H,4 x 2.5 GHz (Turbo Speed upto 4.5 GHz) Cores,"Quad Core, 8 Threads",8 MB Cache,"4 GB, NVIDIA GeForce GTX 1650 GraphicsLargest",16 GB DDR4 RAMLargest,512 GB SSD,,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
47990,HP,108,,4.1,OS: Windows 11,Utility: Performance,Thickness: 17.9 mmSlim,1.4 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,7th Gen AMD Ryzen 5 7520U,4 x 2.8 GHz (Turbo Speed upto 4.3 GHz) Cores,"Quad Core, 8 Threads",4 MB Cache,AMD Radeon AMD Graphics,8 GB LPDDR5 RAMAverage,512 GB SSD,"['41\u2009Wh, 3 Cell BatteryGood']",HDMI,"WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
99990,Asus,73,,4,OS: Windows 11,Utility: Gaming,Thickness: 20 mmAverage,1.8 kgAverage,1 Year Warranty,16 inchesLarge,1920 x 1200 pixelsAverage,~ 283 PPIHighest,Anti Glare,16:10 Aspect Ratio,16:10 Aspect Ratio,12th Gen Intel Core i7 12650H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores  4 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24 MB Cache,"6 GB, NVIDIA Geforce RTX 4050 GraphicsAverage",16 GB DDR4 RAMLargest,512 GB SSD,"['63\u2009Wh, 3 Cell BatteryGood']","HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C",,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
92990,MSI,94,,4.15,OS: Windows 11,Utility: Gaming,Thickness: 22.9 mmThick,1.98 kgAverage,2 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,,,,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores  4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,"6 GB, NVIDIA GeForce RTX 4050 GraphicsAverage",16 GB DDR5 RAMAverage,512 GB SSD,"['53.5\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
111990,MSI,100,,4,OS: Windows 11,Utility: Gaming,Thickness: 22.9 mmThick,1.98 kgAverage,2 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,12th Gen Intel Core i7 12650H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores  4 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMLargest,512 GB SSD,"['53.5\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
67990,HP,67,,4.3,OS: Windows 11,Utility: Everyday Use,Thickness: 19.9 mmAverage,1.74 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 112 PPILow,Anti Glare,Anti Glare,Anti Glare,12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores  8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12 MB Cache,Intel Iris Xe Graphics Graphics,16 GB DDR4 RAMAverage,512 GB SSD,"['41\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
48990,Dell,67,,4.5,OS: Windows 11 ,"Utility: Everyday Use, Performance",Thickness: 18.2 mmSlim,1.91 kgHeavy,1 Year Warranty,16 inchesLargest,1920 x 1080 pixelsAverage,~ 138 PPILow,Anti Glare,16:10 Aspect Ratio,16:10 Aspect Ratio,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores  4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Intel UHD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,['3 Cell Battery'],"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
46700,Lenovo,73,,4.4,OS: DOS,"Utility: Business, Performance",1.59 kgLight,1.59 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 157 PPIHigh,Anti Glare,Anti Glare,Anti Glare,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores  4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10 MB Cache,Intel UHD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"['45\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI","WiFi, Bluetooth","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C",,"Fingerprint Sensor, Inbuilt Microphone"
45499,Dell,106,,4.4,OS: Windows 11,Utility: Everyday Use,Utility: Everyday Use,Utility: Everyday Use,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,5th Gen AMD Ryzen 5 5500U,6 x 2.1 GHz (Turbo Speed upto 4 GHz) Cores,"Hexa Core, 12 Threads",8 MB Cache,AMD Radeon Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"['41\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.0",3 x USB 3.0,,"Backlit Keyboard, Inbuilt Microphone"
30990,Acer,107,,4.6,OS: Windows 11,Utility: Performance,Thickness: 18.9 mmSlim,1.78 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,Intel Core i3 N305,8 x (Turbo Speed upto 3.8 GHz) Cores,"Octa Core, 8 Threads",6 MB Cache,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,256 GB SSD,"['40\u2009Wh, 3 Cell BatteryGood']",HDMI,"WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
30990,Acer,95,,4.6,OS: Windows 11,"Utility: Everyday Use, Performance",Thickness: 18.7 mmSlim,1.78 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,16:9 Aspect Ratio,16:9 Aspect Ratio,16:9 Aspect Ratio,7th Gen AMD Ryzen 3 7320U,4 x 2.4 GHz (Turbo Speed upto 4.1 GHz) Cores,"Quad Core, 8 Threads",4 MB Cache,AMD Radeon AMD Graphics,8 GB DDR5 RAMAverage,512 GB SSD,['3 Cell Battery'],HDMI,"WiFi, Bluetooth v5.1","2 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
58990,HP,66,,4.2,OS: Windows 11,Utility: Performance,Thickness: 17 mmSlim,1.41 kgLight,1 Year Warranty,14 inchesSmall,1920 x 1080 pixelsAverage,~ 157 PPIHigh,Anti Glare,Anti Glare,Anti Glare,11th Gen Intel Core i5 1155G7,4 x 2.5 GHz (Turbo Speed upto 4.5 GHz) Cores,"Quad Core, 8 Threads",8 MB Cache,Intel Integrated Iris Xe Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"['43\u2009Wh, 3 Cell BatteryGood']",HDMI,"WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
199990,Razer,58,,4.25,OS: Windows 11,Utility: Gaming,Thickness: 16.8 mmAverage,1.78 kgLight,1 Year Warranty,14 inchesSmall,2560 x 1600 pixelsAverage,~ 216 PPIHigh,Anti Glare,Anti Glare,Anti Glare,7th Gen Amd Ryzen 9 7940HS,8 x 4 GHz (Turbo Speed upto 5.2 GHz) Cores,"Octa Core, 16 Threads",16 MB Cache,"8 GB, NVIDIA GeForce RTX 4060 GraphicsAverage",32 GB DDR5 RAMLargest,1 TB SSD,['68.1\u2009Wh BatteryGood'],"HDMI, Thunderbolt","WiFi, Bluetooth","2 x USB 3.0, 2 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
53990,MSI,91,,4.3,OS: Windows 11,Utility: Performance,Thickness: 21.7 mmThick,1.86 kgHeavy,2 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,11th Gen Intel Core i5 11260H,6 x 2.1 GHz (Turbo Speed upto 4.4 GHz) Cores,"Hexa Core, 12 Threads",12 MB Cache,"4 GB, NVIDIA GeForce RTX 2050  GraphicsLargest",16 GB DDR4 RAMLarge,512 GB SSD,"['52.4\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.2","3 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
93490,MSI,98,,4.1,OS: Windows 11,"Utility: Everyday Use, Gaming",Thickness: 259 mmThick,2.25 kgHeavy,2 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 140 PPILow,16:9 Aspect Ratio,16:9 Aspect Ratio,16:9 Aspect Ratio,7th Gen AMD Ryzen 7 7735HS,8 x 3.2 GHz (Turbo Speed upto 4.75 GHz) Cores,"Octa Core, 16 Threads",16 MB Cache,"6 GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16 GB DDR5 RAMAverage,512 GB SSD,"['53.5\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI","WiFi, Bluetooth v5.3",1 x USB Type-C,,"Backlit Keyboard, Inbuilt Microphone"
