,name,price,ratings,num_rating_reviews,general,display,performance,connectivity,battery
10,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),"₹69,990","14,846 votes • 42 reviews",--rating: 4.7;,"['OS: Mac', 'Utility: Performance', 'Thickness: 16.1\u2009mmSlim', '1.29\u2009kgLight', '1 Year Warranty']","['13.3\u2009inchesSmall', '2560\u2009x\u20091600\u2009pixelsGood', '~ 227\u2009PPIHigh']","['Apple M1', '4 x (Turbo Speed upto 3.2\u2009GHz) Performance Cores  4 x (Turbo Speed upto 2.1\u2009GHz) Efficient Cores', 'Octa Core (4P + 4E)', 'Apple M1 Integrated Graphics Graphics', '8\u2009GB DDR4 RAMAverage', '256\u2009GB SSD']","['Thunderbolt', 'WiFi, Bluetooth v5.0', '2 x USB 3.0, 2 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",['49.9\u2009Wh BatteryGood']
11,HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹55,999",97 votes,--rating: 4.3;,"['OS: Windows 11', 'Utility: Gaming', 'Thickness: 23.5\u2009mmThick', '2.29\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Touch Screen', 'Anti Glare']","['5th Gen AMD Ryzen 5 5600H', '6 x 3.3\u2009GHz (Turbo Speed upto 4.2\u2009GHz) Cores', 'Hexa Core, 12 Threads', '16\u2009MB Cache', '4\u2009GB, AMD Radeon RX 6500M GraphicsLargest', '8\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['Ethernet (LAN), HDMI, Multi Card Reader', 'WiFi, Bluetooth v5.3', '2 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",['52.5\u2009Wh BatteryGood']
12,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),"₹85,990",68 votes,--rating: 4.4;,"['OS: Windows 11', 'Utility: Performance', 'Thickness: 25\u2009mmThick', '2.2\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['12th Gen Intel Core i7 12700H ', '14 x 3\u2009GHz (Turbo Speed upto 4.7\u2009GHz) Cores', '14 Cores, 20 Threads', '24\u2009MB Cache', '4\u2009GB, NVIDIA GeForce RTX 3050 GraphicsAverage', '16\u2009GB DDR5 RAMAverage', '1\u2009TB SSD']","['Ethernet (LAN), HDMI, Thunderbolt', 'WiFi, Bluetooth v5.1', '2 x USB 3.0, 2 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']","['76\u2009Wh, 4 Cell BatteryGood']"
13,Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹49,990",332 votes • 12 reviews,--rating: 4.3;,"['OS: Windows 11', 'Utility: Business, Performance', 'Thickness: 18.5\u2009mmSlim', '1.8\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesLarge', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['12th Gen Intel Core i5 1235U ', '2 x 1.3\u2009GHz (Turbo Speed upto 4.4\u2009GHz) Performance Cores  8 x 900\u2009MHz (Turbo Speed upto 3.3\u2009GHz) Efficient Cores', '10 Cores (2P + 8E), 12 Threads', '12\u2009MB Cache', 'Intel Integrated UHD Graphics', '16\u2009GB LPDDR4 RAMLargest', '512\u2009GB SSD']","['Ethernet (LAN), HDMI', 'WiFi, Bluetooth v5.1', '1 x USB 2.0, 1 x USB 3.0, 2 x USB Type-C', 'Inbuilt Microphone']","['43\u2009Wh, 4 Cell BatteryGood']"
14,Dell Inspiron 5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹67,190",119 votes • 2 reviews,--rating: 4.35;,"['OS: Windows 11', 'Utility: Gaming', 'Thickness: 26.9\u2009mmThick', '2.57\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['12th Gen Intel Core i5 12500H', '4 x 2.5\u2009GHz (Turbo Speed upto 4.5\u2009GHz) Performance Cores  8 x 1.8\u2009GHz (Turbo Speed upto 3.3\u2009GHz) Efficient Cores', '12 Cores (4P + 8E), 16 Threads', '18\u2009MB Cache', '4\u2009GB, NVIDIA GeForce RTX 3050 GraphicsLargest', '16\u2009GB DDR5 RAMLargest', '512\u2009GB SSD']","['Ethernet (LAN), HDMI', 'WiFi, Bluetooth v5.1', '3 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']","['56\u2009Wh, 3 Cell BatteryGood']"
15,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),"₹45,990",66 votes,--rating: 4.25;,"['OS: Windows 11', 'Utility: Performance', 'Thickness: 17.9\u2009mmSlim', '1.69\u2009kgAverage', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['5th Gen AMD Ryzen 5 5500U', '6 x 2.1\u2009GHz (Turbo Speed upto 4\u2009GHz) Cores', 'Hexa Core, 12 Threads', '8\u2009MB Cache', 'AMD Radeon AMD Graphics', '16\u2009GB DDR4 RAMLargest', '512\u2009GB SSD']","['HDMI, Multi Card Reader', 'WiFi, Bluetooth v5.0', '2 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",['3 Cell Battery']
16,Acer One 14 Z8-415 2023 Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),"₹34,990",250 votes • 4 reviews,--rating: 3.85;,"['OS: Windows 11', 'Utility: Everyday Use', 'Thickness: 21.6\u2009mmThick', '1.49\u2009kgLight', '1 Year Warranty']","['14\u2009inchesSmall', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 135\u2009PPILow']","['11th Gen Intel Core i5  1135G7', '4 x 2.4\u2009GHz (Turbo Speed upto 4.2\u2009GHz) Cores', 'Quad Core, 8 Threads', '8\u2009MB Cache', '\u200eIntel Iris Xe Graphics Graphics', '16\u2009GB DDR4 RAMLargest', '512\u2009GB SSD']","['Ethernet (LAN), HDMI', 'WiFi, Bluetooth v5.0', '1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C', 'Inbuilt Microphone']","['45.5\u2009Wh, 2 Cell BatteryGood']"
17,Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹59,990",233 votes • 12 reviews,--rating: 4.2;,"['OS: Windows 11', 'Utility: Performance', '2.1\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['12th Gen Intel Core i5 12450H', '4 x 2\u2009GHz (Turbo Speed upto 4.4\u2009GHz) Performance Cores  4 x 1.5\u2009GHz (Turbo Speed upto 3.3\u2009GHz) Efficient Cores', 'Octa Core (4P + 4E), 12 Threads', '12\u2009MB Cache', '4\u2009GB, NVIDIA GeForce GTX 3050 GraphicsLargest', '16\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['Ethernet (LAN), HDMI, Thunderbolt', 'WiFi, Bluetooth v5.1', '3 x USB 3.0, 1 x USB Type-C', 'Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone']","['50\u2009Wh, 3 Cell BatteryGood']"
18,Asus Vivobook S15 2022 K3502ZA-KJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹58,990",169 votes,--rating: 4.3;,"['OS: Windows 11', 'Utility: Performance', '1.8\u2009kgAverage', '1 Year Warranty']","['15.6\u2009inchesLarge', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare', '16:09 Aspect Ratio']","['12th Gen Intel Core i5 12500H', '4 x 2.5\u2009GHz (Turbo Speed upto 4.5\u2009GHz) Performance Cores  8 x 1.8\u2009GHz (Turbo Speed upto 3.3\u2009GHz) Efficient Cores', '12 Cores (4P + 8E), 16 Threads', '18\u2009MB Cache', 'Intel Iris Xe Graphics', '16\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['HDMI, Thunderbolt', 'WiFi, Bluetooth v5.3', '1 x USB 2.0, 1 x USB 3.0, 2 x USB Type-C', 'Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone']","['70\u2009Wh, 3 Cell BatteryGood']"
19,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹57,990",166 votes,--rating: 4.4;,"['OS: Windows 11', 'Utility: Gaming, Performance', 'Thickness: 24.5\u2009mmThick', '2.3\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesLarge', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare', '16:9 Aspect Ratio']","['11th Gen Intel Core i5 11400H ', '6 x 2.2\u2009GHz (Turbo Speed upto 4.5\u2009GHz) Cores', 'Hexa Core, 12 Threads', '12\u2009MB Cache', '4\u2009GB, NVIDIA GeForce RTX 2050 GraphicsLargest', '8\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['Ethernet (LAN), HDMI, Thunderbolt', 'WiFi, Bluetooth v5.2', '3 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']","['90\u2009Wh, 3 Cell BatteryGood']"
